EID	ORDER	GROUP	Epigenome.Mnemonic	Standardized.Epigenome.name
E037	34	Blood & T-cell	BLD.CD4.MPC	Primary T helper memory cells from peripheral blood 2
E048	35	Blood & T-cell	BLD.CD8.MPC	Primary T CD8+ memory cells from peripheral blood
E038	36	Blood & T-cell	BLD.CD4.NPC	Primary T helper naive cells from peripheral blood
E047	37	Blood & T-cell	BLD.CD8.NPC	Primary T CD8+ naive cells from peripheral blood
E029	38	HSC & B-cell	BLD.CD14.PC	Primary monocytes from peripheral blood
E031	39	HSC & B-cell	BLD.CD19.CPC	Primary B cells from cord blood
E035	40	HSC & B-cell	BLD.CD34.PC	Primary hematopoietic stem cells
E051	41	HSC & B-cell	BLD.MOB.CD34.PC.M	Primary hematopoietic stem cells G-CSF-mobilized Male
E050	42	HSC & B-cell	BLD.MOB.CD34.PC.F	Primary hematopoietic stem cells G-CSF-mobilized Female
E036	43	HSC & B-cell	BLD.CD34.CC	Primary hematopoietic stem cells short term culture
E032	44	HSC & B-cell	BLD.CD19.PPC	Primary B cells from peripheral blood
E046	45	HSC & B-cell	BLD.CD56.PC	Primary Natural Killer cells from peripheral blood
E030	46	HSC & B-cell	BLD.CD15.PC	Primary neutrophils from peripheral blood
E026	47	Mesench	STRM.MRW.MSC	Bone Marrow Derived Cultured Mesenchymal Stem Cells
E049	48	Mesench	STRM.CHON.MRW.DR.MSC	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells
E025	49	Mesench	FAT.ADIP.DR.MSC	Adipose Derived Mesenchymal Stem Cell Cultured Cells
E023	50	Mesench	FAT.MSC.DR.ADIP	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells
E052	51	Myosat	MUS.SAT	Muscle Satellite Cultured Cells
E055	52	Epithelial	SKIN.PEN.FRSK.FIB.01	Foreskin Fibroblast Primary Cells skin01
E056	53	Epithelial	SKIN.PEN.FRSK.FIB.02	Foreskin Fibroblast Primary Cells skin02
E059	54	Epithelial	SKIN.PEN.FRSK.MEL.01	Foreskin Melanocyte Primary Cells skin01
E061	55	Epithelial	SKIN.PEN.FRSK.MEL.03	Foreskin Melanocyte Primary Cells skin03
E057	56	Epithelial	SKIN.PEN.FRSK.KER.02	Foreskin Keratinocyte Primary Cells skin02
E058	57	Epithelial	SKIN.PEN.FRSK.KER.03	Foreskin Keratinocyte Primary Cells skin03
E028	58	Epithelial	BRST.HMEC.35	Breast variant Human Mammary Epithelial Cells (vHMEC)
E027	59	Epithelial	BRST.MYO	Breast Myoepithelial Primary Cells
E054	60	Neurosph	BRN.GANGEM.DR.NRSPHR	Ganglion Eminence derived primary cultured neurospheres
E053	61	Neurosph	BRN.CRTX.DR.NRSPHR	Cortex derived primary cultured neurospheres
E112	62	Thymus	THYM	Thymus
E093	63	Thymus	THYM.FET	Fetal Thymus
E071	64	Brain	BRN.HIPP.MID	Brain Hippocampus Middle
E074	65	Brain	BRN.SUB.NIG	Brain Substantia Nigra
E068	66	Brain	BRN.ANT.CAUD	Brain Anterior Caudate
E069	67	Brain	BRN.CING.GYR	Brain Cingulate Gyrus
E072	68	Brain	BRN.INF.TMP	Brain Inferior Temporal Lobe
E067	69	Brain	BRN.ANG.GYR	Brain Angular Gyrus
E073	70	Brain	BRN.DL.PRFRNTL.CRTX	Brain_Dorsolateral_Prefrontal_Cortex
E070	71	Brain	BRN.GRM.MTRX	Brain Germinal Matrix
E082	72	Brain	BRN.FET.F	Fetal Brain Female
E081	73	Brain	BRN.FET.M	Fetal Brain Male
E063	74	Adipose	FAT.ADIP.NUC	Adipose Nuclei
E100	75	Muscle	MUS.PSOAS	Psoas Muscle
E108	76	Muscle	MUS.SKLT.F	Skeletal Muscle Female
E107	77	Muscle	MUS.SKLT.M	Skeletal Muscle Male
E089	78	Muscle	MUS.TRNK.FET	Fetal Muscle Trunk
E090	79	Muscle	MUS.LEG.FET	Fetal Muscle Leg
E083	80	Heart	HRT.FET	Fetal Heart
E104	81	Heart	HRT.ATR.R	Right Atrium
E095	82	Heart	HRT.VENT.L	Left Ventricle
E105	83	Heart	HRT.VNT.R	Right Ventricle
E065	84	Heart	VAS.AOR	Aorta
E078	85	Sm. Muscle	GI.DUO.SM.MUS	Duodenum Smooth Muscle
E076	86	Sm. Muscle	GI.CLN.SM.MUS	Colon Smooth Muscle
E103	87	Sm. Muscle	GI.RECT.SM.MUS	Rectal Smooth Muscle
E111	88	Sm. Muscle	GI.STMC.MUS	Stomach Smooth Muscle
E092	89	Digestive	GI.STMC.FET	Fetal Stomach
E085	90	Digestive	GI.S.INT.FET	Fetal Intestine Small
E084	91	Digestive	GI.L.INT.FET	Fetal Intestine Large
E109	92	Digestive	GI.S.INT	Small Intestine
E106	93	Digestive	GI.CLN.SIG	Sigmoid Colon
E075	94	Digestive	GI.CLN.MUC	Colonic Mucosa
E101	95	Digestive	GI.RECT.MUC.29	Rectal Mucosa Donor 29
E102	96	Digestive	GI.RECT.MUC.31	Rectal Mucosa Donor 31
E110	97	Digestive	GI.STMC.MUC	Stomach Mucosa
E077	98	Digestive	GI.DUO.MUC	Duodenum Mucosa
E079	99	Digestive	GI.ESO	Esophagus
E094	100	Digestive	GI.STMC.GAST	Gastric
E099	101	Other	PLCNT.AMN	Placenta Amnion
E086	102	Other	KID.FET	Fetal Kidney
E088	103	Other	LNG.FET	Fetal Lung
E097	104	Other	OVRY	Ovary
E087	105	Other	PANC.ISLT	Pancreatic Islets
E080	106	Other	ADRL.GLND.FET	Fetal Adrenal Gland
E091	107	Other	PLCNT.FET	Placenta
E066	108	Other	LIV.ADLT	Liver
E098	109	Other	PANC	Pancreas
E096	110	Other	LNG	Lung
E113	111	Other	SPLN	Spleen
E114	112	ENCODE2012	LNG.A549.ETOH002.CNCR	A549 EtOH 0.02pct Lung Carcinoma Cell Line
E115	113	ENCODE2012	BLD.DND41.CNCR	Dnd41 TCell Leukemia Cell Line
E116	114	ENCODE2012	BLD.GM12878	GM12878 Lymphoblastoid Cells
E117	115	ENCODE2012	CRVX.HELAS3.CNCR	HeLa-S3 Cervical Carcinoma Cell Line
E118	116	ENCODE2012	LIV.HEPG2.CNCR	HepG2 Hepatocellular Carcinoma Cell Line
E119	117	ENCODE2012	BRST.HMEC	HMEC Mammary Epithelial Primary Cells
E120	118	ENCODE2012	MUS.HSMM	HSMM Skeletal Muscle Myoblasts Cells
E121	119	ENCODE2012	MUS.HSMMT	HSMM cell derived Skeletal Muscle Myotubes Cells
E122	120	ENCODE2012	VAS.HUVEC	HUVEC Umbilical Vein Endothelial Primary Cells
E123	121	ENCODE2012	BLD.K562.CNCR	K562 Leukemia Cells
E124	122	ENCODE2012	BLD.CD14.MONO	Monocytes-CD14+ RO01746 Primary Cells
E125	123	ENCODE2012	BRN.NHA	NH-A Astrocytes Primary Cells
E126	124	ENCODE2012	SKIN.NHDFAD	NHDF-Ad Adult Dermal Fibroblast Primary Cells
E127	125	ENCODE2012	SKIN.NHEK	NHEK-Epidermal Keratinocyte Primary Cells
E128	126	ENCODE2012	LNG.NHLF	NHLF Lung Fibroblast Primary Cells
E129	127	ENCODE2012	BONE.OSTEO	Osteoblast Primary Cells
