"","Estimate","Std. Error","t value","Pr(>|t|)","Padj","gene"
"ILMN_1679357",-0.302367888114013,0.143483578337663,-2.107334453302,0.0359745657848953,0.204869552292599,"DEFA1,DEFA1B,DEFA3"
"ILMN_1725661",-0.319108921329066,0.142553006777065,-2.23852816958195,0.0259696935122014,0.17932095796508,"DEFA1,DEFA1B,DEFA3"
"ILMN_2102721",-0.297164464594817,0.145953851748225,-2.03601659726963,0.0426864183727874,0.219106541359687,"DEFA1B,DEFA1"
"ILMN_2165289",-0.308338481960517,0.144504236853856,-2.13376776123425,0.033727697210606,0.199427092161428,"DEFA1,DEFA1B,DEFA3"
"ILMN_1753347",-0.299766951133106,0.122145423827682,-2.45418077680917,0.0147274221197968,0.147033078697566,"DEFA4"
"ILMN_1728073",-0.0721398534457756,0.0335259522687938,-2.15176150307068,0.0322681586199144,0.196359357933665,"DENND1A"
"ILMN_1707088",0.115142522778279,0.0277110619368342,4.15511044075971,4.31922360096881e-05,0.030299198685067,"DENND2D"
"ILMN_1704091",-0.0569574116047096,0.0269963685969091,-2.10981752602203,0.0357581763084129,0.20423026983005,"DGAT1"
"ILMN_1754643",-0.0669333811714423,0.0307598873983085,-2.17599564994256,0.0303886440197976,0.191296330918031,"DGCR14"
"ILMN_2319910",0.0782687551770359,0.0331433878762999,2.36151945205952,0.0188825977945572,0.159317253982973,"DGKA"
"ILMN_2319913",0.0936540684399064,0.0322757537401979,2.90168493643154,0.00400535821851267,0.0911580008972315,"DGKA"
"ILMN_1741960",-0.0990258888310612,0.0408287571954273,-2.4253956190014,0.0159218487736856,0.151525526411117,"DGKG"
"ILMN_1762426",0.0587812078941177,0.0288209064230438,2.03953362990412,0.0423320678175761,0.218428467530593,"DHFRL1"
"ILMN_1687279",0.0510754352128327,0.0183802223668811,2.77882575049061,0.00582335687720315,0.104374638558156,"DHPS"
"ILMN_2326997",0.0543029879354848,0.0184225681962827,2.9476339757256,0.00347091134419743,0.0880618317977609,"DHPS"
"ILMN_1752478",0.121255342048705,0.0313655846590482,3.86587220888055,0.000137556127496188,0.0343718373581099,"DHRS3"
"ILMN_1754839",0.0602807735551873,0.0212899859951743,2.83141442971597,0.00496908196698336,0.096535605445236,"DHX15"
"ILMN_1795218",0.0610150189634745,0.0279688522854502,2.18153459930193,0.0299725862262261,0.190468441433736,"DHX30"
"ILMN_2100000",0.0624451204863345,0.0279068402709712,2.23762776007609,0.0260291294043023,0.179402599292655,"DHX36"
"ILMN_1687419",-0.0637229848903698,0.0243960937350705,-2.61201590641395,0.00948493861335299,0.124876348768996,"DHX8"
"ILMN_1772692",-0.0751618806641084,0.0296769919664268,-2.53266506083696,0.0118643856737006,0.137371890766409,"DICER1"
"ILMN_1803312",0.0698311270314151,0.0257167245778736,2.71539739907224,0.00702958690748866,0.110341920832334,"DIMT1"
"ILMN_1790985",-0.0908088592850276,0.0319612896605242,-2.84121386369421,0.00482310118586205,0.0962533704213468,"CSGALNACT2"
"ILMN_1757872",0.10753440087936,0.0336298573543214,3.19758718410211,0.00154418077420931,0.0723877359931325,"SGK223"
"ILMN_1706583",0.0624349844581512,0.0270508940711508,2.30805622520021,0.021722319464505,0.167016313584537,"DLAT"
"ILMN_2043918",0.0654199214770475,0.0301290922459746,2.17132069373208,0.0307436754315041,0.191940415800292,"DLEU1"
"ILMN_1773885",0.0420400672328517,0.0196156165850289,2.14319376862911,0.0329561909329975,0.19795257818196,"DMAP1"
"ILMN_1750075",0.0828793754523338,0.0207702179682255,3.99029878160757,8.42559487825841e-05,0.0331151107322164,"DMTF1"
"ILMN_1664682",-0.0788719135416717,0.0270365958642162,-2.91722796530243,0.00381669791842147,0.0890334858240833,"DNA2"
"ILMN_1662334",0.0542808634329241,0.0249218578940757,2.17804241014582,0.030234324318472,0.191159982011467,"DNAJA3"
"ILMN_2333865",-0.0722544087164015,0.0323510778842808,-2.23344671775247,0.0263066709831183,0.180078230192352,"DNAJB12"
"ILMN_1712929",-0.0659247795259217,0.0268934613435368,-2.45133115011858,0.0148420182041678,0.147600011774923,"DNAJB12"
"ILMN_1758545",-0.0689965040797982,0.0311807520276326,-2.2127915330154,0.0277158209646677,0.183604422824723,"DNAJB12"
"ILMN_1773742",0.062494399418379,0.0310465459320277,2.01292599683076,0.0450760304189926,0.225362933029886,"DNAJB9"
"ILMN_1685930",0.0711349577726353,0.0328987524987743,2.16223875890995,0.0314436309215493,0.193303387633553,"DNAJC24"
"ILMN_1810436",0.071650333819064,0.0294689111319669,2.43138721679268,0.0156663990562466,0.151412401515409,"DNAJC27"
"ILMN_1789642",-0.0521028081164948,0.0247343573148279,-2.10649532766553,0.0360479454212051,0.205006665425289,"DNAJC5"
"ILMN_1799516",0.0503996200827769,0.0242415958878951,2.07905536895546,0.0385192013785767,0.210376899669352,"DNAJC9"
"ILMN_1794692",-0.0671170393852207,0.0291239879913712,-2.30452777981868,0.0219222407541842,0.167648065464788,"DNMT3B"
"ILMN_1702301",0.0927564340762136,0.0284897955785331,3.25577745268573,0.00126932874157507,0.0682204071807658,"DOCK10"
"ILMN_1799725",-0.0591664963846338,0.0205589949625554,-2.87788855887145,0.00431073238694162,0.0929373205829709,"DOCK2"
"ILMN_1731275",-0.119469568465919,0.0498105102379068,-2.39848112166095,0.0171153083014359,0.153883813918607,"DPEP3"
"ILMN_2375418",0.0516747862736963,0.0260513592366827,1.98357351738228,0.048276501236061,0.234045414642407,"DPH2"
"ILMN_1679912",-0.0755165929471784,0.0313246366800669,-2.41077314697899,0.0165607909993088,0.151899971693317,"DPH3"
"ILMN_1804618",-0.0764386227532048,0.031698425206443,-2.41143281583806,0.0165314856894813,0.151899971693317,"DPM2"
"ILMN_1692535",0.119310112878929,0.0334759090124016,3.56405894264826,0.000428926268588003,0.0520168634836131,"DPP4"
"ILMN_1739532",-0.104480547646761,0.0300202788458891,-3.48033235077922,0.0005803695947012,0.0550379740168526,"DPRXP4"
"ILMN_1658259",0.0463237042907442,0.0227042791333078,2.0403072045915,0.0422544645947023,0.218260141407778,"DRG1"
"ILMN_2380698",0.0846299088698067,0.0303857855778259,2.78518087521705,0.00571348403147001,0.103391145244349,"DSTN"
"ILMN_1706426",0.0608390541210721,0.0259229965835807,2.34691440570596,0.0196239833401751,0.161981674852179,"DSTN"
"ILMN_2054554",-0.0516129314092815,0.0246286810118153,-2.09564334300001,0.0370085443493994,0.207033806402377,"DTWD2"
"ILMN_2275098",-0.0749579558990633,0.0301484299455727,-2.48629716487346,0.0134890821317569,0.14307395250304,"DTX2"
"ILMN_1811650",-0.0837254373707419,0.0271071531820409,-3.08868426014621,0.00221171424496178,0.0794986980290372,"DUS2L"
"ILMN_1723235",0.0587361326663806,0.027406273894745,2.14316374754041,0.0329586238054176,0.19795257818196,"DUS3L"
"ILMN_1767892",0.0545366492469231,0.023221165529452,2.34857501781092,0.0195384182986467,0.161981674852179,"DUSP12"
"ILMN_1785592",-0.0607518102752873,0.0306636840081496,-1.98122998721031,0.0485401042749687,0.234590005365398,"DUSP13"
"ILMN_1666546",0.104239860703936,0.0367527657256513,2.83624534496415,0.00489662176706592,0.096535605445236,"DUSP14"
"ILMN_1764361",0.0620752580874325,0.0256510853830751,2.41998563259201,0.0161556578436478,0.151845960818765,"DUSP16"
"ILMN_1813275",-0.0507915729827241,0.0214857947476171,-2.36396063442601,0.0187611096781188,0.159153998936032,"DUSP22"
"ILMN_2137464",-0.0553441732263301,0.0231361195586053,-2.39211130830041,0.0174090550931696,0.154669782805538,"DVL3"
"ILMN_1783448",-0.0411965451454829,0.0170237774471707,-2.41994147734406,0.0161575785638053,0.151845960818765,"DYNC1LI2"
"ILMN_2374293",-0.0705945660014295,0.0269583358293274,-2.61865444693478,0.00930673563280559,0.123478968119326,"DYRK1A"
"ILMN_2374244",0.101556410218816,0.0366209705329531,2.77317637246756,0.0059226322195306,0.104596729751543,"DYRK2"
"ILMN_2374249",0.0763841437409467,0.026127703394217,2.92349245505647,0.00374298245137702,0.0885271710750487,"DYRK2"
"ILMN_1794588",0.106333146300725,0.0349324542959486,3.04396437192383,0.00255599811990691,0.0833060908971832,"DYRK2"
"ILMN_1685012",-0.058911329511927,0.0271481783777059,-2.16999198591921,0.0308452330101505,0.192139774747223,"EAF1"
"ILMN_1758750",0.0544634128334689,0.0269599559443458,2.02015956353561,0.044315528853157,0.223060415352218,"EARS2"
"ILMN_1791896",0.0614626532512173,0.0257415832390263,2.38767960309586,0.017616038221266,0.155243763722164,"EBAG9"
