"","X","estimate","SE","df","t.ratio","pval","padj","fold_change","gene","Chr","male_fold_change","female_fold_change","female_direction","male_direction","opp"
"ILMN_1686626","ILMN_1686626",0.0933909297765266,0.0146112568701462,290.349601044274,6.39171089841993,6.52166747373905e-10,4.17517151668774e-06,-1.0689619575049,"DDX39B,ATP6V1G2-DDX39B","6",-1.04316446850454,-1.12543904884808,"negative","negative",0
"ILMN_2408179","ILMN_2408179",-0.0971764404789834,0.0178411472905045,290.030421659026,-5.44675961117721,1.0953253615249e-07,0.000604291001953287,1.07470264357618,"PRRC2A","6",1.07535015435958,1.07333927364916,"positive","positive",0
"ILMN_2152402","ILMN_2152402",-0.10572395223079,0.0132529537004644,290.385189583446,-7.97738788049083,3.47694797554623e-14,2.65569286372221e-10,1.07493827720383,"ABHD16A","6",1.0655546911783,1.09498591204788,"positive","positive",0
"ILMN_1742230","ILMN_1742230",-0.199621281954639,0.0189858814046601,290.543093946059,-10.5141961913678,4.01056369259109e-22,3.68931754081454e-18,1.13466343727505,"BAZ1A","14",1.11262358246805,1.18255312595604,"positive","positive",0
"ILMN_1658327","ILMN_1658327",-0.17676419084914,0.0186446628785788,290.641144819375,-9.48068581343071,9.38298286397167e-19,8.08906952702998e-15,1.12505968527221,"BAZ1A","14",1.09414803073964,1.19309641670497,"positive","positive",0
"ILMN_1680831","ILMN_1680831",0.159123265280502,0.0158312364183879,289.94407294286,10.0512215897225,1.37501349425921e-20,1.23146208545855e-16,-1.1161169800555,"BAZ1B","7",-1.08749697504738,-1.17892482329247,"negative","negative",0
"ILMN_1676318","ILMN_1676318",-0.093185504601723,0.0197687292115402,289.974998520892,-4.71378324851175,3.78074038126947e-06,0.018113527166662,1.07707358739362,"BAZ2A","12",1.0655826536663,1.10169842647726,"positive","positive",0
"ILMN_1720850","ILMN_1720850",-0.318953920495793,0.0187399090065624,290.97635048561,-17.0200357101041,1.45742825098458e-45,1.68347537271229e-41,1.23825643726875,"BAZ2B","2",1.2000514544802,1.32280420541557,"positive","positive",0
"ILMN_1729645","ILMN_1729645",-0.0897784668138468,0.0187555514259144,290.115529204044,-4.78676764948647,2.7044837981754e-06,0.0131275643563434,1.0692270592783,"BBC3","19",1.0599287088403,1.08909155993288,"positive","positive",0
"ILMN_2230035","ILMN_2230035",0.216632094164707,0.01936450499227,290.533857759519,11.1870710999937,2.1306538311886e-24,2.03583973570071e-20,-1.1658974010054,"BBS2","16",-1.140674677447,-1.22089622048795,"negative","negative",0
"ILMN_1767612","ILMN_1767612",0.221503481579912,0.0161869254841249,291.648888328141,13.6840984285217,2.89727766922668e-33,3.09776928393717e-29,-1.17282014509688,"BBS2","16",-1.14052507592017,-1.2439087075258,"negative","negative",0
"ILMN_1745415","ILMN_1745415",0.0936442556704381,0.01186930665029,290.771622057684,7.88961465311455,6.19469173122986e-14,4.689381640541e-10,-1.06884119674913,"BBX","3",-1.06122721422696,-1.08506722828013,"negative","negative",0
"ILMN_1697642","ILMN_1697642",0.113155548955875,0.0191105794319259,289.605676302451,5.92109461457975,9.03853756088414e-09,5.41679556023787e-05,-1.08676434535691,"BCAP29","7",-1.06801674284413,-1.12736004275952,"negative","negative",0
"ILMN_1808059","ILMN_1808059",0.221808262144278,0.0198508499466416,291.504126246315,11.1737413128653,2.30114393952599e-24,2.19736234785337e-20,-1.16307168129615,"BCAS4","20",-1.13412521888721,-1.22651923077311,"negative","negative",0
"ILMN_2325506","ILMN_2325506",0.258296968180108,0.0213951827203615,291.389395000449,12.07266942078,1.74362217576573e-27,1.74379653798331e-23,-1.19232476022821,"BCAS4","20",-1.16438400967384,-1.25342562796945,"negative","negative",0
"ILMN_1695110","ILMN_1695110",0.214840531280374,0.0160284029081652,290.185088223783,13.4037391317965,3.24841673013159e-32,3.43714974215224e-28,-1.15897705511114,"BCAT2","19",-1.13146818158352,-1.21916250229524,"negative","negative",0
"ILMN_1771966","ILMN_1771966",0.13848190140521,0.0184947051137104,290.027994577248,7.48765122524451,8.47200851417005e-13,6.1828718136413e-09,-1.10877617669697,"BCCIP","10",-1.08854731716544,-1.15264847847878,"negative","negative",0
"ILMN_1811188","ILMN_1811188",0.143539166267589,0.019786463906223,289.747818219898,7.25441225617099,3.70470785399799e-12,2.64330905382757e-08,-1.10861688495264,"BCCIP","10",-1.08355521521575,-1.16334937975496,"negative","negative",0
"ILMN_1786433","ILMN_1786433",0.0806750452152045,0.0179650172478505,289.637391752495,4.49067452049661,1.02639555154518e-05,0.046731789461852,-1.05626506044237,"BCCIP","10",-1.0627049399569,-1.04282034656531,"negative","negative",0
"ILMN_1796113","ILMN_1796113",0.131495291607824,0.0136709340221491,290.178448739266,9.61860333718098,3.43488800207713e-19,2.99007000580814e-15,-1.09952663390312,"BCDIN3D","12",-1.09464540659013,-1.10988534491759,"negative","negative",0
"ILMN_1693394","ILMN_1693394",-0.318380509590214,0.0162802374194741,290.627143702136,-19.5562571593319,6.19100156357658e-55,7.30538184502036e-51,1.24580685623308,"BCKDK","16",1.20951047314947,1.32590877584312,"positive","positive",0
"ILMN_1716446","ILMN_1716446",-0.139953481389266,0.0192392861516676,290.277430012422,-7.27435936479045,3.25808200629776e-12,2.33018025090416e-08,1.09413790874521,"BCL10","1",1.0856117542631,1.11232691980351,"positive","positive",0
"ILMN_1704070","ILMN_1704070",-0.082560226984225,0.0177742087591972,289.605676302445,-4.64494527451212,5.16808533223306e-06,0.0244088670241367,1.07087340890989,"LOC646626","1",1.0626160450266,1.08848674677717,"positive","positive",0
"ILMN_2255133","ILMN_2255133",0.400332697533333,0.0289331864010696,290.256778502303,13.8364538210189,8.71659512160486e-34,9.37295473426171e-30,-1.3283943157384,"BCL11A","2",-1.27907588655894,-1.43864998036769,"negative","negative",0
"ILMN_1659800","ILMN_1659800",0.194671835451197,0.0216579877540882,289.834006655936,8.98845440590158,3.31779216581297e-17,2.75708528979058e-13,-1.14152437084314,"BCL11A","2",-1.12199265669759,-1.18380853577286,"negative","negative",0
"ILMN_1752899","ILMN_1752899",0.44544404405676,0.0223284496315637,290.937775552072,19.9496181511445,2.12952895117263e-56,2.51752912607628e-52,-1.36759690410693,"BCL11A","2",-1.34264777753893,-1.42170640037582,"negative","negative",0
"ILMN_2342271","ILMN_2342271",0.286768618259708,0.0200288656017039,290.707329447005,14.317766365925,1.48309762558277e-35,1.61924598761127e-31,-1.21788454878546,"BCL11A","2",-1.19593207238292,-1.26547845700263,"negative","negative",0
"ILMN_1665761","ILMN_1665761",0.373228815202429,0.0200925636932378,291.497856205725,18.5754700545277,2.31081371468638e-51,2.7122020569274e-47,-1.29878588420008,"BCL11B","14",-1.25735232471182,-1.39063367313767,"negative","negative",0
"ILMN_1801119","ILMN_1801119",0.0969075142204948,0.0181027199889027,291.410693537045,5.35320185474343,1.75358654233409e-07,0.000947813526131576,-1.07227715351534,"BCL2","18",-1.03882768959346,-1.14634165625809,"negative","negative",0
"ILMN_2246956","ILMN_2246956",0.117919522587039,0.0184819620803783,291.439011180676,6.38024913557365,6.93169176502671e-10,4.43073737620507e-06,-1.08977025160877,"BCL2","18",-1.04030714471642,-1.20185164482469,"negative","negative",0
"ILMN_1654118","ILMN_1654118",-0.0920645393231305,0.018224748602017,290.854546929021,-5.05162190895414,7.74951256186668e-07,0.00395225140655201,1.10038858218101,"BCL2L1","20",1.10558342257012,1.08952010798448,"positive","positive",0
"ILMN_1742410","ILMN_1742410",-0.121683210179994,0.0266657065367412,290.532604813927,-4.56328468223159,7.43944960052475e-06,0.0345190461464348,1.13064998259646,"BCL2L1","20",1.14424923959529,1.10251611985625,"positive","positive",0
"ILMN_2396982","ILMN_2396982",0.0577558152047845,0.0118280740222003,289.997825244044,4.88294333434013,1.72942739385804e-06,0.00853299476129557,-1.04326352877742,"BCL2L12","19",-1.03724729369701,-1.05605741883452,"negative","negative",0
"ILMN_1710514","ILMN_1710514",0.135408803721324,0.0221176725735057,291.131374223203,6.12219948872591,2.97883800786989e-09,1.8385388184573e-05,-1.10264701390168,"BCL3","19",-1.09925915587563,-1.10982124539468,"negative","negative",0
"ILMN_1737314","ILMN_1737314",-0.357802203781262,0.0208235623941887,292.270596306391,-17.1825644915163,3.19080066213278e-46,3.69175636608763e-42,1.27646238325725,"BCL6","3",1.25141668001235,1.33090044122072,"positive","positive",0
"ILMN_1754199","ILMN_1754199",0.0908364243960559,0.0171839726204742,289.605676302445,5.286113194095,2.46367912876047e-07,0.00131190913606495,-1.06697551523061,"BCL7B","7",-1.05412143830305,-1.09458141317266,"negative","negative",0
"ILMN_2367275","ILMN_2367275",0.099087243660183,0.0153223448049983,289.670577904177,6.46684596393235,4.24454630362339e-10,2.74579700381397e-06,-1.07498431774845,"BCL7B","7",-1.05889188030131,-1.10970490520556,"negative","negative",0
"ILMN_2371147","ILMN_2371147",0.182680157123788,0.0169723111679999,290.370060423929,10.7634225719488,5.87917639496384e-23,5.48174407066428e-19,-1.13746236290444,"BCL7C","16",-1.10640241836467,-1.20580690859284,"negative","negative",0
"ILMN_1704452","ILMN_1704452",0.10976528534234,0.0167493774246384,289.759091054544,6.55339494475029,2.5667692802689e-10,1.68431400171245e-06,-1.07655804733228,"BCL9","1",-1.07323533821479,-1.08359447048723,"negative","negative",0
"ILMN_1743966","ILMN_1743966",0.146687247468729,0.0213597494351081,290.163030137069,6.86746105867822,3.97635837439652e-11,2.71585276971282e-07,-1.10283231005404,"BCL9L","11",-1.09127230173589,-1.12759790402937,"negative","negative",0
"ILMN_1775192","ILMN_1775192",0.105373833339256,0.014003800130949,289.777388719415,7.52465990330546,6.70024803409371e-13,4.90324151134978e-09,-1.08502717367077,"BCLAF1","6",-1.09033011182083,-1.07393539385494,"negative","negative",0
"ILMN_1738529","ILMN_1738529",0.191647541886423,0.0179481435758372,290.533009589988,10.6778476044971,1.13608716301611e-22,1.05474332214416e-18,-1.14534661944736,"BCS1L","2",-1.12080937993565,-1.19883278445912,"negative","negative",0
"ILMN_1734611","ILMN_1734611",-0.142587270200134,0.020712770203576,290.273250626168,-6.8840270421924,3.59597506479488e-11,2.46036613933266e-07,1.13338330729459,"BDKRB1","14",1.09333290571842,1.22265981879916,"positive","positive",0
"ILMN_1761910","ILMN_1761910",-0.121330604588333,0.0247613804766685,289.729197394806,-4.89999354852841,1.59714619527201e-06,0.00790427652040118,1.11099154858747,"BDNF","11",1.08143234602281,1.17596080090653,"positive","positive",0
